iter	PRAUC	Logloss
0	0.9995187041	0.4881359225
1	0.9996268889	0.3721843028
2	0.9997479819	0.2754023079
3	0.9997596902	0.2184210076
4	0.9997660316	0.1655955799
5	0.9997829376	0.1246492045
6	0.9998059251	0.09483520389
7	0.9998038433	0.07821872731
8	0.9998047983	0.0623040407
9	0.9998161553	0.05179312129
10	0.9998177919	0.04429169228
11	0.9998824338	0.03438594034
12	0.9998818423	0.03044708691
13	0.9998791932	0.02716097018
14	0.9999050491	0.0246455247
15	0.9999108922	0.02243428129
16	0.9999130162	0.01949624092
17	0.9999114529	0.01781043854
18	0.9999227222	0.0166258664
19	0.9999239833	0.01558797854
20	0.9999338213	0.01468727892
21	0.9999358204	0.01392740657
22	0.9999342732	0.01320380853
23	0.9999326871	0.011921001
24	0.999944976	0.01111742386
25	0.9999479268	0.01061631013
26	0.999953533	0.01031346294
27	0.9999583405	0.009841624345
28	0.9999584129	0.009673809527
29	0.9999588788	0.009336809193
30	0.9999576401	0.009016587906
31	0.9999580797	0.008887602832
32	0.999960225	0.008593937026
33	0.9999613894	0.008230298086
34	0.9999617367	0.008048835481
35	0.9999627313	0.007909884983
36	0.9999649117	0.00772182493
37	0.9999675431	0.007556337353
38	0.9999667955	0.007367530159
39	0.9999699554	0.007202972103
40	0.9999708247	0.007084211958
41	0.9999741794	0.006951729628
42	0.9999763428	0.006851032521
43	0.9999776152	0.006699665928
44	0.9999777153	0.006642215398
45	0.9999780329	0.006578108477
46	0.9999791838	0.006496494099
47	0.9999801132	0.006405677725
48	0.9999800929	0.006357021698
49	0.9999811682	0.00622761349
50	0.9999810667	0.006146178042
51	0.9999812904	0.006012694709
52	0.9999833219	0.005859621105
53	0.9999840919	0.005726054848
54	0.9999844826	0.00564872602
55	0.999985089	0.005597082662
56	0.999984945	0.005545603686
57	0.9999854248	0.005441469759
58	0.9999855219	0.005380735385
59	0.9999856676	0.005295142643
60	0.9999858125	0.005246370351
61	0.9999867754	0.005106167531
62	0.999986989	0.00505391634
63	0.999986932	0.004979827603
64	0.9999870953	0.004938542886
65	0.9999873034	0.004889918177
66	0.9999877752	0.004831506978
67	0.9999881469	0.004750059963
68	0.9999881939	0.004701953887
69	0.9999882231	0.004658876661
70	0.9999882265	0.004612375905
71	0.9999882995	0.004576133924
72	0.9999885255	0.004535664772
73	0.9999888643	0.004493559486
74	0.9999889037	0.004410071701
75	0.9999893409	0.004355527289
76	0.9999893936	0.004328370964
77	0.9999894776	0.004303651054
78	0.9999898946	0.004244490727
79	0.999989879	0.004215338687
80	0.9999900316	0.004162248576
81	0.9999899752	0.004138974043
82	0.9999902301	0.004097437686
83	0.999990407	0.00406490099
84	0.9999910349	0.004014371008
85	0.9999909932	0.003989359316
86	0.9999910725	0.003948208771
87	0.9999915058	0.003891544898
88	0.999991477	0.003854735846
89	0.9999920185	0.003799401489
90	0.9999921207	0.003781233128
91	0.9999924228	0.003723514361
92	0.9999924748	0.003693079454
93	0.9999928996	0.003617026577
94	0.9999929231	0.003583699781
95	0.9999929498	0.003546163442
96	0.9999930978	0.003507965672
97	0.9999930667	0.003489547277
98	0.9999932867	0.003444144997
99	0.9999934546	0.003392822019
100	0.9999934551	0.003379052412
101	0.9999936214	0.003339534736
102	0.9999937681	0.003315714356
103	0.9999938563	0.003285711295
104	0.9999938782	0.003269958865
105	0.9999939417	0.00325140664
106	0.9999939095	0.003235227554
107	0.9999939354	0.003222647823
108	0.9999940208	0.003194981337
